Chart Recorder Data File Fri, Oct 23, 2015 11:14 AM
Time (s)	CH1 (V)  
11:00:39.744	0.635693
11:00:39.844	0.635693
11:00:39.944	0.635374
11:00:40.044	0.636012
11:00:40.144	0.636651
11:00:40.244	0.635693
11:00:40.344	0.636651
11:00:40.444	0.636970
11:00:40.544	0.636332
11:00:40.644	0.636012
11:00:40.744	0.636332
11:00:40.844	0.637289
11:00:40.944	0.637608
11:00:41.044	0.637289
11:00:41.144	0.637289
11:00:41.244	0.637289
11:00:41.344	0.637928
11:00:41.444	0.638885
11:00:41.544	0.638885
11:00:41.644	0.638247
11:00:41.744	0.638885
11:00:41.844	0.637928
11:00:41.944	0.639204
11:00:42.044	0.639523
11:00:42.144	0.639843
11:00:42.244	0.639204
11:00:42.344	0.639843
11:00:42.444	0.641438
11:00:42.544	0.640800
11:00:42.644	0.642077
11:00:42.744	0.641438
11:00:42.844	0.640800
11:00:42.944	0.641758
11:00:43.044	0.641758
11:00:43.144	0.642077
11:00:43.244	0.641758
11:00:43.344	0.642396
11:00:43.444	0.642396
11:00:43.544	0.643034
11:00:43.644	0.642396
11:00:43.744	0.642715
11:00:43.844	0.642715
11:00:43.944	0.643673
11:00:44.044	0.643034
11:00:44.144	0.643673
11:00:44.244	0.643992
11:00:44.344	0.644311
11:00:44.444	0.643992
11:00:44.544	0.643992
11:00:44.644	0.644311
11:00:44.744	0.643992
11:00:44.844	0.644630
11:00:44.944	0.645269
11:00:45.044	0.645269
11:00:45.144	0.644949
11:00:45.244	0.645588
11:00:45.344	0.645588
11:00:45.444	0.646226
11:00:45.544	0.646545
11:00:45.644	0.645588
11:00:45.744	0.646864
11:00:45.844	0.645907
11:00:45.944	0.646226
11:00:46.044	0.646864
11:00:46.144	0.647184
11:00:46.244	0.647503
11:00:46.344	0.647503
11:00:46.444	0.647822
11:00:46.544	0.647503
11:00:46.644	0.648141
11:00:46.744	0.648141
11:00:46.843	0.649737
11:00:46.943	0.648460
11:00:47.043	0.649737
11:00:47.143	0.649418
11:00:47.243	0.650056
11:00:47.343	0.650056
11:00:47.443	0.650056
11:00:47.543	0.650056
11:00:47.643	0.650695
11:00:47.743	0.650695
11:00:47.843	0.651652
11:00:47.943	0.651652
11:00:48.043	0.651652
11:00:48.143	0.651971
11:00:48.243	0.651971
11:00:48.343	0.651652
11:00:48.443	0.652610
11:00:48.543	0.652610
11:00:48.643	0.651971
11:00:48.743	0.652610
11:00:48.843	0.652610
11:00:48.943	0.651971
11:00:49.043	0.652929
11:00:49.143	0.652929
11:00:49.243	0.653248
11:00:49.343	0.654205
11:00:49.443	0.653567
11:00:49.543	0.653886
11:00:49.643	0.654205
11:00:49.743	0.654205
11:00:49.843	0.654525
11:00:49.943	0.655482
11:00:50.043	0.655163
11:00:50.143	0.655163
11:00:50.244	0.655482
11:00:50.344	0.655801
11:00:50.444	0.655801
11:00:50.544	0.654844
11:00:50.644	0.655801
11:00:50.744	0.656440
11:00:50.844	0.656440
11:00:50.944	0.656759
11:00:51.044	0.657397
11:00:51.144	0.656440
11:00:51.244	0.657397
11:00:51.344	0.656759
11:00:51.444	0.657716
11:00:51.544	0.658036
11:00:51.644	0.657716
11:00:51.744	0.657716
11:00:51.844	0.658355
11:00:51.944	0.658993
11:00:52.044	0.658036
11:00:52.144	0.658036
11:00:52.244	0.659312
11:00:52.344	0.659312
11:00:52.444	0.659312
11:00:52.544	0.660589
11:00:52.644	0.660589
11:00:52.744	0.660270
11:00:52.844	0.660270
11:00:52.944	0.659631
11:00:53.044	0.660589
11:00:53.144	0.661227
11:00:53.244	0.660589
11:00:53.344	0.661546
11:00:53.444	0.660908
11:00:53.544	0.661546
11:00:53.644	0.662185
11:00:53.744	0.661546
11:00:53.844	0.661546
11:00:53.944	0.661866
11:00:54.044	0.662504
11:00:54.144	0.661866
11:00:54.244	0.662504
11:00:54.344	0.662823
11:00:54.444	0.663781
11:00:54.544	0.663142
11:00:54.644	0.663781
11:00:54.744	0.663462
11:00:54.844	0.663462
11:00:54.944	0.664100
11:00:55.044	0.664100
11:00:55.144	0.663462
11:00:55.244	0.664419
11:00:55.344	0.664738
11:00:55.444	0.664419
11:00:55.544	0.665377
11:00:55.644	0.665377
11:00:55.744	0.664738
11:00:55.844	0.665696
11:00:55.944	0.665696
11:00:56.044	0.666972
11:00:56.144	0.666972
11:00:56.244	0.666653
11:00:56.344	0.667930
11:00:56.444	0.666972
11:00:56.544	0.667930
11:00:56.644	0.668249
11:00:56.744	0.667930
11:00:56.844	0.667930
11:00:56.944	0.668249
11:00:57.044	0.668568
11:00:57.144	0.668249
11:00:57.244	0.669526
11:00:57.344	0.668568
11:00:57.444	0.668568
11:00:57.544	0.668568
11:00:57.644	0.669207
11:00:57.744	0.669207
11:00:57.844	0.669526
11:00:57.944	0.669526
11:00:58.044	0.670164
11:00:58.144	0.670483
11:00:58.244	0.670164
11:00:58.344	0.671122
11:00:58.444	0.670483
11:00:58.544	0.670803
11:00:58.644	0.671122
11:00:58.744	0.672398
11:00:58.844	0.672079
11:00:58.944	0.672079
11:00:59.044	0.672079
11:00:59.144	0.672079
11:00:59.244	0.673037
11:00:59.344	0.672718
11:00:59.444	0.673037
11:00:59.544	0.673037
11:00:59.644	0.673037
11:00:59.744	0.673037
11:00:59.844	0.673356
11:00:59.944	0.673356
11:01:00.044	0.674313
11:01:00.144	0.673356
11:01:00.244	0.673675
11:01:00.344	0.674633
11:01:00.444	0.675271
11:01:00.544	0.674952
11:01:00.644	0.675271
11:01:00.744	0.674952
11:01:00.844	0.674952
11:01:00.944	0.674952
11:01:01.044	0.675590
11:01:01.144	0.675909
11:01:01.244	0.676548
11:01:01.344	0.675909
11:01:01.444	0.677186
11:01:01.544	0.677186
11:01:01.644	0.677186
11:01:01.744	0.676548
11:01:01.844	0.677186
11:01:01.944	0.678144
11:01:02.044	0.677824
11:01:02.144	0.677505
11:01:02.244	0.677505
11:01:02.344	0.678144
11:01:02.444	0.677824
11:01:02.544	0.678144
11:01:02.644	0.678782
11:01:02.744	0.679420
11:01:02.844	0.679420
11:01:02.944	0.680059
11:01:03.044	0.679739
11:01:03.144	0.680378
11:01:03.244	0.680378
11:01:03.344	0.681335
11:01:03.444	0.680697
11:01:03.544	0.680697
11:01:03.644	0.681335
11:01:03.744	0.680697
11:01:03.844	0.682293
11:01:03.944	0.681974
11:01:04.044	0.681335
11:01:04.144	0.682293
11:01:04.243	0.682612
11:01:04.343	0.682293
11:01:04.443	0.682612
11:01:04.543	0.682293
11:01:04.643	0.682293
11:01:04.743	0.681974
11:01:04.843	0.683570
11:01:04.943	0.683250
11:01:05.043	0.682931
11:01:05.143	0.683889
11:01:05.243	0.682931
11:01:05.343	0.683570
11:01:05.443	0.683570
11:01:05.543	0.684846
11:01:05.643	0.685165
11:01:05.743	0.684846
11:01:05.843	0.684846
11:01:05.943	0.686123
11:01:06.043	0.685804
11:01:06.143	0.685485
11:01:06.243	0.686123
11:01:06.343	0.686123
11:01:06.443	0.686123
11:01:06.543	0.686123
11:01:06.643	0.685804
11:01:06.743	0.687080
11:01:06.843	0.687400
11:01:06.943	0.687400
11:01:07.043	0.686761
11:01:07.143	0.688357
11:01:07.243	0.688038
11:01:07.343	0.688038
11:01:07.443	0.688038
11:01:07.543	0.688038
11:01:07.643	0.688357
11:01:07.744	0.688676
11:01:07.844	0.688676
11:01:07.944	0.688357
11:01:08.044	0.689315
11:01:08.144	0.689953
11:01:08.244	0.689634
11:01:08.344	0.689953
11:01:08.444	0.689953
11:01:08.544	0.689953
11:01:08.644	0.689953
11:01:08.744	0.690272
11:01:08.844	0.689953
11:01:08.944	0.690272
11:01:09.044	0.690911
11:01:09.144	0.690911
11:01:09.244	0.690591
11:01:09.344	0.691868
11:01:09.444	0.691230
11:01:09.544	0.692187
11:01:09.644	0.691230
11:01:09.744	0.692506
11:01:09.844	0.692187
11:01:09.944	0.693145
11:01:10.044	0.693145
11:01:10.144	0.693145
11:01:10.244	0.692506
11:01:10.344	0.693464
11:01:10.444	0.693145
11:01:10.544	0.694421
11:01:10.644	0.694741
11:01:10.744	0.694102
11:01:10.844	0.694741
11:01:10.944	0.694421
11:01:11.044	0.695060
11:01:11.144	0.694741
11:01:11.244	0.694741
11:01:11.344	0.695060
11:01:11.444	0.695379
11:01:11.544	0.695060
11:01:11.644	0.695379
11:01:11.744	0.695698
11:01:11.844	0.696975
11:01:11.944	0.695698
11:01:12.044	0.696337
11:01:12.144	0.696975
11:01:12.244	0.697613
11:01:12.344	0.697294
11:01:12.444	0.696656
11:01:12.544	0.697613
11:01:12.644	0.697613
11:01:12.744	0.697294
11:01:12.844	0.697613
11:01:12.944	0.698252
11:01:13.044	0.698571
11:01:13.144	0.698571
11:01:13.244	0.698571
11:01:13.344	0.699528
11:01:13.444	0.699209
11:01:13.544	0.700167
11:01:13.644	0.700167
11:01:13.744	0.699847
11:01:13.844	0.698890
11:01:13.944	0.699528
11:01:14.044	0.699528
11:01:14.144	0.700486
11:01:14.244	0.700486
11:01:14.344	0.700805
11:01:14.444	0.700805
11:01:14.544	0.700805
11:01:14.644	0.700167
11:01:14.744	0.701443
11:01:14.844	0.701443
11:01:14.944	0.701443
11:01:15.044	0.701443
11:01:15.144	0.702082
11:01:15.244	0.702082
11:01:15.344	0.703039
11:01:15.444	0.702401
11:01:15.544	0.702720
11:01:15.644	0.703039
11:01:15.744	0.703358
11:01:15.844	0.703358
11:01:15.944	0.703678
11:01:16.044	0.703997
11:01:16.144	0.703678
11:01:16.244	0.703997
11:01:16.344	0.704635
11:01:16.444	0.704316
11:01:16.544	0.703997
11:01:16.644	0.704954
11:01:16.744	0.705593
11:01:16.844	0.705273
11:01:16.944	0.704635
11:01:17.044	0.705593
11:01:17.144	0.706231
11:01:17.244	0.705912
11:01:17.344	0.706550
11:01:17.444	0.706231
11:01:17.544	0.706869
11:01:17.644	0.706231
11:01:17.744	0.707188
11:01:17.844	0.707188
11:01:17.944	0.707188
11:01:18.044	0.707508
11:01:18.144	0.707508
11:01:18.244	0.707508
11:01:18.344	0.707188
11:01:18.444	0.708146
11:01:18.544	0.708146
